"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,171,"PAK","Pakistan",1,"Azad Kashmir",1,"Azad Kashmir","PK.JK.JK",NA,"","Division","Division","",""
2,171,"PAK","Pakistan",2,"Baluchistan",2,"Kalat","PK.BA.KL",NA,"","Division","Division","",""
3,171,"PAK","Pakistan",2,"Baluchistan",3,"Makran","PK.BA.MR",NA,"","Division","Division","",""
4,171,"PAK","Pakistan",2,"Baluchistan",4,"Nasirabad","PK.BA.NS",NA,"","Division","Division","",""
5,171,"PAK","Pakistan",2,"Baluchistan",5,"Quetta","PK.BA.QE",NA,"","Division","Division","",""
6,171,"PAK","Pakistan",2,"Baluchistan",6,"Sibi","PK.BA.SI",NA,"","Division","Division","",""
7,171,"PAK","Pakistan",2,"Baluchistan",7,"Zhob","PK.BA.ZH",NA,"","Division","Division","","Loralai"
8,171,"PAK","Pakistan",3,"F.A.T.A.",8,"F.A.T.A.","PK.TA.TA",NA,"","Division","Division","",""
9,171,"PAK","Pakistan",4,"F.C.T.",9,"Islamabad","PK.IS.IS",NA,"","Division","Division","","Capital"
10,171,"PAK","Pakistan",5,"N.W.F.P.",10,"Bannu","PK.NW.BN",NA,"","Division","Division","",""
11,171,"PAK","Pakistan",5,"N.W.F.P.",11,"Dera Ismail Khan","PK.NW.DI",NA,"","Division","Division","","Di Khan"
12,171,"PAK","Pakistan",5,"N.W.F.P.",12,"F.A.T.A.","PK.TA.TA",NA,"","Division","Division","",""
13,171,"PAK","Pakistan",5,"N.W.F.P.",13,"Hazara","PK.NW.HZ",NA,"","Division","Division","",""
14,171,"PAK","Pakistan",5,"N.W.F.P.",14,"Kohat","PK.NW.KH",NA,"","Division","Division","",""
15,171,"PAK","Pakistan",5,"N.W.F.P.",15,"Malakand","PK.NW.MD",NA,"","Division","Division","","Mala Kand"
16,171,"PAK","Pakistan",5,"N.W.F.P.",16,"Mardan","PK.NW.MA",NA,"","Division","Division","",""
17,171,"PAK","Pakistan",5,"N.W.F.P.",17,"Peshawar","PK.NW.PS",NA,"","Division","Division","",""
18,171,"PAK","Pakistan",6,"Northern Areas",18,"Northern Areas","PK.NA.NA",NA,"","Division","Division","",""
19,171,"PAK","Pakistan",7,"Punjab",19,"Bahawalpur","PK.PB.BW",NA,"","Division","Division","","Bahawal Pur"
20,171,"PAK","Pakistan",7,"Punjab",20,"Dera Ghazi Khan","PK.PB.GK",NA,"","Division","Division","","D.G.Khan"
21,171,"PAK","Pakistan",7,"Punjab",21,"Faisalabad","PK.PB.FS",NA,"","Division","Division","",""
22,171,"PAK","Pakistan",7,"Punjab",22,"Gujranwala","PK.PB.GW",NA,"","Division","Division","",""
23,171,"PAK","Pakistan",7,"Punjab",23,"Lahore","PK.PB.LH",NA,"","Division","Division","",""
24,171,"PAK","Pakistan",7,"Punjab",24,"Multan","PK.PB.MT",NA,"","Division","Division","",""
25,171,"PAK","Pakistan",7,"Punjab",25,"Rawalpindi","PK.PB.RP",NA,"","Division","Division","",""
26,171,"PAK","Pakistan",7,"Punjab",26,"Sargodha","PK.PB.SG",NA,"","Division","Division","",""
27,171,"PAK","Pakistan",8,"Sind",27,"Hyderabad","PK.SD.HD",NA,"","Division","Division","",""
28,171,"PAK","Pakistan",8,"Sind",28,"Karachi","PK.SD.KR",NA,"","Division","Division","",""
29,171,"PAK","Pakistan",8,"Sind",29,"Larkana","PK.SD.LK",NA,"","Division","Division","",""
30,171,"PAK","Pakistan",8,"Sind",30,"Mirpur Khas","PK.SD.MK",NA,"","Division","Division","",""
31,171,"PAK","Pakistan",8,"Sind",31,"Rann of Kutch","",NA,"","Division","Division","",""
32,171,"PAK","Pakistan",8,"Sind",32,"Sukkur","PK.SD.SU",NA,"","Division","Division","","Sakhar|Khairpur"
