"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,171,"PAK","Pakistan",1,"Azad Kashmir",1,"Azad Kashmir",1,"Bagh",NA,"","District","District","",""
2,171,"PAK","Pakistan",1,"Azad Kashmir",1,"Azad Kashmir",2,"Bhimber",NA,"","District","District","",""
3,171,"PAK","Pakistan",1,"Azad Kashmir",1,"Azad Kashmir",3,"Kotli",NA,"","District","District","",""
4,171,"PAK","Pakistan",1,"Azad Kashmir",1,"Azad Kashmir",4,"Mirpur",NA,"","District","District","",""
5,171,"PAK","Pakistan",1,"Azad Kashmir",1,"Azad Kashmir",5,"Muzaffarabad",NA,"","District","District","",""
6,171,"PAK","Pakistan",1,"Azad Kashmir",1,"Azad Kashmir",6,"Neelum",NA,"","District","District","",""
7,171,"PAK","Pakistan",1,"Azad Kashmir",1,"Azad Kashmir",7,"Poonch",NA,"","District","District","",""
8,171,"PAK","Pakistan",1,"Azad Kashmir",1,"Azad Kashmir",8,"Sudhnati",NA,"","District","District","",""
9,171,"PAK","Pakistan",2,"Baluchistan",2,"Kalat",9,"Awaran",NA,"","District","District","",""
10,171,"PAK","Pakistan",2,"Baluchistan",2,"Kalat",10,"Disputed Area 1",NA,"","District","District","",""
11,171,"PAK","Pakistan",2,"Baluchistan",2,"Kalat",11,"Disputed Area 2",NA,"","District","District","",""
12,171,"PAK","Pakistan",2,"Baluchistan",2,"Kalat",12,"Kalat",NA,"","District","District","",""
13,171,"PAK","Pakistan",2,"Baluchistan",2,"Kalat",13,"Kharan",NA,"","District","District","",""
14,171,"PAK","Pakistan",2,"Baluchistan",2,"Kalat",14,"Khuzdar",NA,"","District","District","",""
15,171,"PAK","Pakistan",2,"Baluchistan",2,"Kalat",15,"Lasbela",NA,"","District","District","",""
16,171,"PAK","Pakistan",2,"Baluchistan",2,"Kalat",16,"Mastung",NA,"","District","District","","Mustung"
17,171,"PAK","Pakistan",2,"Baluchistan",3,"Makran",17,"Gwadar",NA,"","District","District","",""
18,171,"PAK","Pakistan",2,"Baluchistan",3,"Makran",18,"Kech",NA,"","District","District","",""
19,171,"PAK","Pakistan",2,"Baluchistan",3,"Makran",19,"Panjgur",NA,"","District","District","",""
20,171,"PAK","Pakistan",2,"Baluchistan",4,"Nasirabad",20,"Bolan",NA,"","District","District","",""
21,171,"PAK","Pakistan",2,"Baluchistan",4,"Nasirabad",21,"Jafarabad",NA,"","District","District","","Nasir Abad"
22,171,"PAK","Pakistan",2,"Baluchistan",4,"Nasirabad",22,"Jhal Magsi",NA,"","District","District","",""
23,171,"PAK","Pakistan",2,"Baluchistan",4,"Nasirabad",23,"Nasirabad",NA,"","District","District","","Nasir Abad"
24,171,"PAK","Pakistan",2,"Baluchistan",5,"Quetta",24,"Chagai",NA,"","District","District","",""
25,171,"PAK","Pakistan",2,"Baluchistan",5,"Quetta",25,"Pishin",NA,"","District","District","",""
26,171,"PAK","Pakistan",2,"Baluchistan",5,"Quetta",26,"Qilla Abdullah",NA,"","District","District","",""
27,171,"PAK","Pakistan",2,"Baluchistan",5,"Quetta",27,"Quetta",NA,"","District","District","",""
28,171,"PAK","Pakistan",2,"Baluchistan",6,"Sibi",28,"Dera Bugti",NA,"","District","District","",""
29,171,"PAK","Pakistan",2,"Baluchistan",6,"Sibi",29,"Kholu",NA,"","District","District","",""
30,171,"PAK","Pakistan",2,"Baluchistan",6,"Sibi",30,"Sibi",NA,"","District","District","",""
31,171,"PAK","Pakistan",2,"Baluchistan",6,"Sibi",31,"Ziarat",NA,"","District","District","",""
32,171,"PAK","Pakistan",2,"Baluchistan",7,"Zhob",32,"Barkhan",NA,"","District","District","",""
33,171,"PAK","Pakistan",2,"Baluchistan",7,"Zhob",33,"Loralai",NA,"","District","District","",""
34,171,"PAK","Pakistan",2,"Baluchistan",7,"Zhob",34,"Musakhel",NA,"","District","District","",""
35,171,"PAK","Pakistan",2,"Baluchistan",7,"Zhob",35,"Qilla Saifullah",NA,"","District","District","",""
36,171,"PAK","Pakistan",2,"Baluchistan",7,"Zhob",36,"Zhob",NA,"","District","District","",""
37,171,"PAK","Pakistan",3,"F.A.T.A.",8,"F.A.T.A.",37,"Bajaur",NA,"","District","District","",""
38,171,"PAK","Pakistan",3,"F.A.T.A.",8,"F.A.T.A.",38,"Khyber",NA,"","District","District","",""
39,171,"PAK","Pakistan",3,"F.A.T.A.",8,"F.A.T.A.",39,"Kurram",NA,"","District","District","",""
40,171,"PAK","Pakistan",3,"F.A.T.A.",8,"F.A.T.A.",40,"Largha Shirani",NA,"","District","District","",""
41,171,"PAK","Pakistan",3,"F.A.T.A.",8,"F.A.T.A.",41,"Mohmand",NA,"","District","District","",""
42,171,"PAK","Pakistan",3,"F.A.T.A.",8,"F.A.T.A.",42,"N. Waziristan",NA,"","District","District","","North Waziristan"
43,171,"PAK","Pakistan",3,"F.A.T.A.",8,"F.A.T.A.",43,"Orakzai",NA,"","District","District","",""
44,171,"PAK","Pakistan",3,"F.A.T.A.",8,"F.A.T.A.",44,"S. Waziristan",NA,"","District","District","","South Waziristan"
45,171,"PAK","Pakistan",4,"F.C.T.",9,"Islamabad",45,"Islamabad",NA,"","District","District","",""
46,171,"PAK","Pakistan",5,"N.W.F.P.",10,"Bannu",46,"Bannu",NA,"","District","District","",""
47,171,"PAK","Pakistan",5,"N.W.F.P.",10,"Bannu",47,"Lakki Marwat",NA,"","District","District","",""
48,171,"PAK","Pakistan",5,"N.W.F.P.",11,"Dera Ismail Khan",48,"Dera Ismail Khan",NA,"","District","District","","D.I.Khan"
49,171,"PAK","Pakistan",5,"N.W.F.P.",11,"Dera Ismail Khan",49,"Tank",NA,"","District","District","",""
50,171,"PAK","Pakistan",5,"N.W.F.P.",12,"F.A.T.A.",50,"Adam Khel",NA,"","District","District","",""
51,171,"PAK","Pakistan",5,"N.W.F.P.",12,"F.A.T.A.",51,"Bhittani",NA,"","District","District","",""
52,171,"PAK","Pakistan",5,"N.W.F.P.",13,"Hazara",52,"Abbottabad",NA,"","District","District","",""
53,171,"PAK","Pakistan",5,"N.W.F.P.",13,"Hazara",53,"Battagram",NA,"","District","District","","Batgram"
54,171,"PAK","Pakistan",5,"N.W.F.P.",13,"Hazara",54,"Haripur",NA,"","District","District","",""
55,171,"PAK","Pakistan",5,"N.W.F.P.",13,"Hazara",55,"Kohistan",NA,"","District","District","",""
56,171,"PAK","Pakistan",5,"N.W.F.P.",13,"Hazara",56,"Mansehra",NA,"","District","District","",""
